areaCode,areaName,areaType,date,totalDeaths,hospitalCases,newCasesByPublishDate
E07000041,Exeter,ltla,2022-03-09,,,158
E07000041,Exeter,ltla,2022-03-08,,,166
E07000041,Exeter,ltla,2022-03-07,,,281
E07000041,Exeter,ltla,2022-03-06,,,0
E07000041,Exeter,ltla,2022-03-05,,,0
E07000041,Exeter,ltla,2022-03-04,,,114
E07000041,Exeter,ltla,2022-03-03,,,118
E07000041,Exeter,ltla,2022-03-02,,,94
E07000041,Exeter,ltla,2022-03-01,,,102
E07000041,Exeter,ltla,2022-02-28,,,182
E07000041,Exeter,ltla,2022-02-27,,,0
E07000041,Exeter,ltla,2022-02-26,,,0
E07000041,Exeter,ltla,2022-02-25,,,88
E07000041,Exeter,ltla,2022-02-24,,,81
E07000041,Exeter,ltla,2022-02-23,,,97
E07000041,Exeter,ltla,2022-02-22,,,104
E07000041,Exeter,ltla,2022-02-21,,,92
E07000041,Exeter,ltla,2022-02-20,,,90
E07000041,Exeter,ltla,2022-02-19,,,113
E07000041,Exeter,ltla,2022-02-18,,,132
E07000041,Exeter,ltla,2022-02-17,,,176
E07000041,Exeter,ltla,2022-02-16,,,183
E07000041,Exeter,ltla,2022-02-15,,,142
E07000041,Exeter,ltla,2022-02-14,,,106
E07000041,Exeter,ltla,2022-02-13,,,103
E07000041,Exeter,ltla,2022-02-12,,,142
E07000041,Exeter,ltla,2022-02-11,,,172
E07000041,Exeter,ltla,2022-02-10,,,236
E07000041,Exeter,ltla,2022-02-09,,,184
E07000041,Exeter,ltla,2022-02-08,,,194
E07000041,Exeter,ltla,2022-02-07,,,171
E07000041,Exeter,ltla,2022-02-06,,,186
E07000041,Exeter,ltla,2022-02-05,,,201
E07000041,Exeter,ltla,2022-02-04,,,280
E07000041,Exeter,ltla,2022-02-03,,,338
E07000041,Exeter,ltla,2022-02-02,,,299
E07000041,Exeter,ltla,2022-02-01,,,380
E07000041,Exeter,ltla,2022-01-31,,,1292
E07000041,Exeter,ltla,2022-01-30,,,245
E07000041,Exeter,ltla,2022-01-29,,,309
E07000041,Exeter,ltla,2022-01-28,,,311
E07000041,Exeter,ltla,2022-01-27,,,295
E07000041,Exeter,ltla,2022-01-26,,,337
E07000041,Exeter,ltla,2022-01-25,,,252
E07000041,Exeter,ltla,2022-01-24,,,236
E07000041,Exeter,ltla,2022-01-23,,,222
E07000041,Exeter,ltla,2022-01-22,,,187
E07000041,Exeter,ltla,2022-01-21,,,243
E07000041,Exeter,ltla,2022-01-20,,,234
E07000041,Exeter,ltla,2022-01-19,,,226
E07000041,Exeter,ltla,2022-01-18,,,217
E07000041,Exeter,ltla,2022-01-17,,,166
E07000041,Exeter,ltla,2022-01-16,,,122
E07000041,Exeter,ltla,2022-01-15,,,147
E07000041,Exeter,ltla,2022-01-14,,,162
E07000041,Exeter,ltla,2022-01-13,,,175
E07000041,Exeter,ltla,2022-01-12,,,216
E07000041,Exeter,ltla,2022-01-11,,,172
E07000041,Exeter,ltla,2022-01-10,,,191
E07000041,Exeter,ltla,2022-01-09,,,174
E07000041,Exeter,ltla,2022-01-08,,,210
E07000041,Exeter,ltla,2022-01-07,,,213
E07000041,Exeter,ltla,2022-01-06,,,327
E07000041,Exeter,ltla,2022-01-05,,,274
E07000041,Exeter,ltla,2022-01-04,,,297
E07000041,Exeter,ltla,2022-01-03,,,181
E07000041,Exeter,ltla,2022-01-02,,,156
E07000041,Exeter,ltla,2022-01-01,,,228
E07000041,Exeter,ltla,2021-12-31,,,296
E07000041,Exeter,ltla,2021-12-30,,,165
E07000041,Exeter,ltla,2021-12-29,,,211
E07000041,Exeter,ltla,2021-12-28,,,239
E07000041,Exeter,ltla,2021-12-27,,,55
E07000041,Exeter,ltla,2021-12-26,,,150
E07000041,Exeter,ltla,2021-12-25,,,155
E07000041,Exeter,ltla,2021-12-24,,,197
E07000041,Exeter,ltla,2021-12-23,,,170
E07000041,Exeter,ltla,2021-12-22,,,103
E07000041,Exeter,ltla,2021-12-21,,,125
E07000041,Exeter,ltla,2021-12-20,,,119
E07000041,Exeter,ltla,2021-12-19,,,103
E07000041,Exeter,ltla,2021-12-18,,,111
E07000041,Exeter,ltla,2021-12-17,,,172
E07000041,Exeter,ltla,2021-12-16,,,96
E07000041,Exeter,ltla,2021-12-15,,,114
E07000041,Exeter,ltla,2021-12-14,,,102
E07000041,Exeter,ltla,2021-12-13,,,97
E07000041,Exeter,ltla,2021-12-12,,,64
